match_id,source,map,cheater_labels,hurt_events,group,split
no_cheater_present/144,no_cheater_present,de_train,0,568,no_cheater_present/144,train
no_cheater_present/145,no_cheater_present,de_train,0,684,no_cheater_present/145,train
no_cheater_present/146,no_cheater_present,de_inferno,0,835,no_cheater_present/146,train
no_cheater_present/147,no_cheater_present,de_ancient,0,669,no_cheater_present/147,train
no_cheater_present/148,no_cheater_present,de_nuke,0,610,no_cheater_present/148,test
no_cheater_present/149,no_cheater_present,de_inferno,0,503,no_cheater_present/149,validation
no_cheater_present/15,no_cheater_present,de_dust2,0,600,no_cheater_present/15,train
no_cheater_present/150,no_cheater_present,de_train,0,616,no_cheater_present/150,calibration
no_cheater_present/151,no_cheater_present,de_overpass,0,703,no_cheater_present/151,train
no_cheater_present/152,no_cheater_present,de_overpass,0,689,no_cheater_present/152,validation
no_cheater_present/153,no_cheater_present,de_ancient,0,563,no_cheater_present/153,calibration
no_cheater_present/154,no_cheater_present,de_edin,0,121,no_cheater_present/154,test
no_cheater_present/155,no_cheater_present,de_vertigo,0,756,no_cheater_present/155,calibration
no_cheater_present/156,no_cheater_present,de_vertigo,0,905,no_cheater_present/156,train
no_cheater_present/157,no_cheater_present,de_vertigo,0,525,no_cheater_present/157,train
no_cheater_present/158,no_cheater_present,cs_office,0,842,no_cheater_present/158,train
no_cheater_present/159,no_cheater_present,de_vertigo,0,677,no_cheater_present/159,test
no_cheater_present/16,no_cheater_present,de_dust2,0,448,no_cheater_present/16,train
no_cheater_present/160,no_cheater_present,de_edin,0,499,no_cheater_present/160,train
no_cheater_present/161,no_cheater_present,de_vertigo,0,453,no_cheater_present/161,validation
no_cheater_present/162,no_cheater_present,de_vertigo,0,473,no_cheater_present/162,validation
no_cheater_present/163,no_cheater_present,de_vertigo,0,788,no_cheater_present/163,train
no_cheater_present/164,no_cheater_present,de_vertigo,0,755,no_cheater_present/164,train
no_cheater_present/165,no_cheater_present,de_vertigo,0,602,no_cheater_present/165,calibration
no_cheater_present/166,no_cheater_present,de_basalt,0,228,no_cheater_present/166,train
no_cheater_present/167,no_cheater_present,de_basalt,0,87,no_cheater_present/167,train
no_cheater_present/168,no_cheater_present,de_basalt,0,582,no_cheater_present/168,train
no_cheater_present/169,no_cheater_present,de_train,0,730,no_cheater_present/169,validation
no_cheater_present/17,no_cheater_present,de_dust2,0,514,no_cheater_present/17,test
no_cheater_present/170,no_cheater_present,de_edin,0,668,no_cheater_present/170,train
no_cheater_present/171,no_cheater_present,de_train,0,454,no_cheater_present/171,train
no_cheater_present/172,no_cheater_present,de_ancient,0,709,no_cheater_present/172,train
no_cheater_present/173,no_cheater_present,de_basalt,0,570,no_cheater_present/173,calibration
no_cheater_present/174,no_cheater_present,de_edin,0,746,no_cheater_present/174,train
no_cheater_present/175,no_cheater_present,de_inferno,0,589,no_cheater_present/175,train
no_cheater_present/176,no_cheater_present,de_basalt,0,868,no_cheater_present/176,train
no_cheater_present/177,no_cheater_present,de_basalt,0,844,no_cheater_present/177,train
no_cheater_present/178,no_cheater_present,de_edin,0,504,no_cheater_present/178,validation
no_cheater_present/179,no_cheater_present,de_anubis,0,528,no_cheater_present/179,train
no_cheater_present/18,no_cheater_present,de_anubis,0,617,no_cheater_present/18,test
no_cheater_present/180,no_cheater_present,de_nuke,0,640,no_cheater_present/180,train
no_cheater_present/181,no_cheater_present,de_basalt,0,487,no_cheater_present/181,validation
no_cheater_present/182,no_cheater_present,de_edin,0,402,no_cheater_present/182,train
no_cheater_present/183,no_cheater_present,de_train,0,623,no_cheater_present/183,validation
no_cheater_present/184,no_cheater_present,de_basalt,0,57,no_cheater_present/184,train
no_cheater_present/185,no_cheater_present,de_basalt,0,652,no_cheater_present/185,validation
no_cheater_present/186,no_cheater_present,de_thera,0,610,no_cheater_present/186,calibration
no_cheater_present/187,no_cheater_present,cs_italy,0,813,no_cheater_present/187,train
no_cheater_present/188,no_cheater_present,de_nuke,0,616,no_cheater_present/188,train
no_cheater_present/189,no_cheater_present,de_inferno,0,506,no_cheater_present/189,train
no_cheater_present/19,no_cheater_present,de_dust2,0,250,no_cheater_present/19,calibration
no_cheater_present/190,no_cheater_present,de_nuke,0,985,no_cheater_present/190,test
no_cheater_present/191,no_cheater_present,de_nuke,0,602,no_cheater_present/191,train
no_cheater_present/192,no_cheater_present,de_basalt,0,446,no_cheater_present/192,validation
no_cheater_present/193,no_cheater_present,de_inferno,0,473,no_cheater_present/193,train
no_cheater_present/194,no_cheater_present,de_inferno,0,745,no_cheater_present/194,validation
no_cheater_present/195,no_cheater_present,de_edin,0,721,no_cheater_present/195,train
no_cheater_present/196,no_cheater_present,de_train,0,627,no_cheater_present/196,validation
no_cheater_present/197,no_cheater_present,de_edin,0,683,no_cheater_present/197,test
no_cheater_present/198,no_cheater_present,de_train,0,654,no_cheater_present/198,test
no_cheater_present/199,no_cheater_present,de_train,0,576,no_cheater_present/199,train
no_cheater_present/2,no_cheater_present,de_mirage,0,233,no_cheater_present/2,train
no_cheater_present/20,no_cheater_present,de_nuke,0,591,no_cheater_present/20,train
no_cheater_present/200,no_cheater_present,de_train,0,95,no_cheater_present/200,train
no_cheater_present/201,no_cheater_present,de_edin,0,643,no_cheater_present/201,train
no_cheater_present/202,no_cheater_present,de_edin,0,694,no_cheater_present/202,train
no_cheater_present/203,no_cheater_present,de_train,0,500,no_cheater_present/203,validation
no_cheater_present/204,no_cheater_present,de_train,0,530,no_cheater_present/204,calibration
no_cheater_present/205,no_cheater_present,de_train,0,588,no_cheater_present/205,train
no_cheater_present/206,no_cheater_present,de_train,0,500,no_cheater_present/206,train
no_cheater_present/207,no_cheater_present,de_basalt,0,531,no_cheater_present/207,train
no_cheater_present/208,no_cheater_present,de_edin,0,505,no_cheater_present/208,train
no_cheater_present/209,no_cheater_present,cs_office,0,764,no_cheater_present/209,train
no_cheater_present/21,no_cheater_present,de_inferno,0,726,no_cheater_present/21,train
no_cheater_present/210,no_cheater_present,de_nuke,0,470,no_cheater_present/210,train
no_cheater_present/211,no_cheater_present,de_nuke,0,694,no_cheater_present/211,calibration
no_cheater_present/212,no_cheater_present,cs_italy,0,67,no_cheater_present/212,train
no_cheater_present/213,no_cheater_present,cs_italy,0,536,no_cheater_present/213,train
no_cheater_present/214,no_cheater_present,de_vertigo,0,767,no_cheater_present/214,train
no_cheater_present/215,no_cheater_present,de_edin,0,688,no_cheater_present/215,train
no_cheater_present/216,no_cheater_present,de_train,0,599,no_cheater_present/216,train
no_cheater_present/217,no_cheater_present,de_basalt,0,770,no_cheater_present/217,train
no_cheater_present/218,no_cheater_present,cs_italy,0,482,no_cheater_present/218,test
no_cheater_present/219,no_cheater_present,de_train,0,640,no_cheater_present/219,train
no_cheater_present/22,no_cheater_present,de_mirage,0,583,no_cheater_present/22,train
no_cheater_present/220,no_cheater_present,de_overpass,0,625,no_cheater_present/220,calibration
no_cheater_present/221,no_cheater_present,de_nuke,0,667,no_cheater_present/221,train
no_cheater_present/222,no_cheater_present,de_inferno,0,852,no_cheater_present/222,train
no_cheater_present/223,no_cheater_present,de_basalt,0,841,no_cheater_present/223,train
no_cheater_present/224,no_cheater_present,de_edin,0,759,no_cheater_present/224,test
no_cheater_present/225,no_cheater_present,de_train,0,768,no_cheater_present/225,validation
no_cheater_present/226,no_cheater_present,de_vertigo,0,471,no_cheater_present/226,train
no_cheater_present/227,no_cheater_present,de_nuke,0,742,no_cheater_present/227,train
no_cheater_present/228,no_cheater_present,de_anubis,0,899,no_cheater_present/228,train
no_cheater_present/229,no_cheater_present,de_train,0,451,no_cheater_present/229,test
no_cheater_present/23,no_cheater_present,de_ancient,0,755,no_cheater_present/23,calibration
no_cheater_present/230,no_cheater_present,de_train,0,550,no_cheater_present/230,train
no_cheater_present/231,no_cheater_present,de_train,0,597,no_cheater_present/231,validation
no_cheater_present/232,no_cheater_present,cs_office,0,522,no_cheater_present/232,calibration
no_cheater_present/233,no_cheater_present,de_anubis,0,203,no_cheater_present/233,validation
no_cheater_present/234,no_cheater_present,de_vertigo,0,278,no_cheater_present/234,train
no_cheater_present/235,no_cheater_present,de_ancient,0,484,no_cheater_present/235,train
no_cheater_present/236,no_cheater_present,de_ancient,0,734,no_cheater_present/236,calibration
no_cheater_present/237,no_cheater_present,de_vertigo,0,236,no_cheater_present/237,validation
no_cheater_present/238,no_cheater_present,de_anubis,0,564,no_cheater_present/238,train
no_cheater_present/239,no_cheater_present,de_nuke,0,626,no_cheater_present/239,test
no_cheater_present/24,no_cheater_present,de_mirage,0,590,no_cheater_present/24,train
no_cheater_present/240,no_cheater_present,de_train,0,400,no_cheater_present/240,validation
no_cheater_present/241,no_cheater_present,de_ancient,0,181,no_cheater_present/241,calibration
no_cheater_present/242,no_cheater_present,de_nuke,0,323,no_cheater_present/242,test
no_cheater_present/243,no_cheater_present,de_nuke,0,379,no_cheater_present/243,calibration
no_cheater_present/244,no_cheater_present,de_anubis,0,468,no_cheater_present/244,validation
no_cheater_present/245,no_cheater_present,de_vertigo,0,210,no_cheater_present/245,train
no_cheater_present/246,no_cheater_present,de_vertigo,0,520,no_cheater_present/246,validation
no_cheater_present/247,no_cheater_present,de_basalt,0,310,no_cheater_present/247,test
no_cheater_present/248,no_cheater_present,de_ancient,0,76,no_cheater_present/248,validation
no_cheater_present/249,no_cheater_present,de_anubis,0,96,no_cheater_present/249,train
no_cheater_present/25,no_cheater_present,de_mirage,0,627,no_cheater_present/25,train
no_cheater_present/250,no_cheater_present,cs_italy,0,321,no_cheater_present/250,train
no_cheater_present/251,no_cheater_present,cs_office,0,294,no_cheater_present/251,train
no_cheater_present/252,no_cheater_present,de_anubis,0,267,no_cheater_present/252,train
no_cheater_present/253,no_cheater_present,de_ancient,0,224,no_cheater_present/253,train
no_cheater_present/254,no_cheater_present,de_anubis,0,240,no_cheater_present/254,train
no_cheater_present/255,no_cheater_present,de_ancient,0,328,no_cheater_present/255,train
no_cheater_present/256,no_cheater_present,de_mirage,0,465,no_cheater_present/256,train
no_cheater_present/257,no_cheater_present,de_vertigo,0,13,no_cheater_present/257,train
no_cheater_present/258,no_cheater_present,de_anubis,0,393,no_cheater_present/258,test
no_cheater_present/259,no_cheater_present,de_anubis,0,687,no_cheater_present/259,train
no_cheater_present/26,no_cheater_present,de_dust2,0,480,no_cheater_present/26,train
no_cheater_present/260,no_cheater_present,de_vertigo,0,568,no_cheater_present/260,train
no_cheater_present/261,no_cheater_present,de_anubis,0,699,no_cheater_present/261,calibration
no_cheater_present/262,no_cheater_present,de_ancient,0,458,no_cheater_present/262,train
no_cheater_present/263,no_cheater_present,de_anubis,0,632,no_cheater_present/263,train
no_cheater_present/264,no_cheater_present,de_anubis,0,755,no_cheater_present/264,train
no_cheater_present/265,no_cheater_present,de_anubis,0,590,no_cheater_present/265,train
no_cheater_present/266,no_cheater_present,de_ancient,0,519,no_cheater_present/266,validation
no_cheater_present/267,no_cheater_present,de_anubis,0,807,no_cheater_present/267,validation
no_cheater_present/268,no_cheater_present,de_vertigo,0,578,no_cheater_present/268,train
no_cheater_present/269,no_cheater_present,de_ancient,0,547,no_cheater_present/269,validation
no_cheater_present/27,no_cheater_present,de_mirage,0,590,no_cheater_present/27,train
no_cheater_present/270,no_cheater_present,de_anubis,0,605,no_cheater_present/270,test
no_cheater_present/271,no_cheater_present,de_vertigo,0,715,no_cheater_present/271,train
no_cheater_present/272,no_cheater_present,de_vertigo,0,737,no_cheater_present/272,validation
no_cheater_present/273,no_cheater_present,de_vertigo,0,765,no_cheater_present/273,train
no_cheater_present/274,no_cheater_present,de_ancient,0,798,no_cheater_present/274,train
no_cheater_present/275,no_cheater_present,de_vertigo,0,870,no_cheater_present/275,train
no_cheater_present/276,no_cheater_present,de_vertigo,0,842,no_cheater_present/276,test
no_cheater_present/277,no_cheater_present,de_ancient,0,631,no_cheater_present/277,train
no_cheater_present/278,no_cheater_present,de_ancient,0,292,no_cheater_present/278,train
no_cheater_present/279,no_cheater_present,de_vertigo,0,477,no_cheater_present/279,validation
no_cheater_present/28,no_cheater_present,de_dust2,0,522,no_cheater_present/28,train
no_cheater_present/280,no_cheater_present,de_ancient,0,451,no_cheater_present/280,test
no_cheater_present/281,no_cheater_present,de_ancient,0,552,no_cheater_present/281,train
no_cheater_present/282,no_cheater_present,de_basalt,0,495,no_cheater_present/282,train
no_cheater_present/283,no_cheater_present,de_basalt,0,470,no_cheater_present/283,train
no_cheater_present/284,no_cheater_present,de_edin,0,403,no_cheater_present/284,train
no_cheater_present/285,no_cheater_present,de_basalt,0,445,no_cheater_present/285,validation
no_cheater_present/286,no_cheater_present,de_edin,0,609,no_cheater_present/286,train
no_cheater_present/287,no_cheater_present,de_mills,0,274,no_cheater_present/287,validation
no_cheater_present/288,no_cheater_present,cs_italy,0,374,no_cheater_present/288,validation
no_cheater_present/289,no_cheater_present,de_thera,0,417,no_cheater_present/289,test
no_cheater_present/29,no_cheater_present,de_vertigo,0,466,no_cheater_present/29,train
no_cheater_present/290,no_cheater_present,cs_office,0,309,no_cheater_present/290,train
no_cheater_present/291,no_cheater_present,cs_office,0,504,no_cheater_present/291,train
no_cheater_present/292,no_cheater_present,de_edin,0,545,no_cheater_present/292,train
no_cheater_present/293,no_cheater_present,de_overpass,0,460,no_cheater_present/293,validation
no_cheater_present/294,no_cheater_present,de_basalt,0,362,no_cheater_present/294,train
no_cheater_present/295,no_cheater_present,de_basalt,0,489,no_cheater_present/295,train
no_cheater_present/296,no_cheater_present,de_edin,0,573,no_cheater_present/296,train
no_cheater_present/297,no_cheater_present,de_overpass,0,504,no_cheater_present/297,test
no_cheater_present/298,no_cheater_present,de_basalt,0,149,no_cheater_present/298,validation
no_cheater_present/299,no_cheater_present,cs_office,0,546,no_cheater_present/299,train
no_cheater_present/3,no_cheater_present,de_inferno,0,543,no_cheater_present/3,train
no_cheater_present/30,no_cheater_present,de_dust2,0,644,no_cheater_present/30,train
no_cheater_present/300,no_cheater_present,cs_office,0,682,no_cheater_present/300,train
no_cheater_present/301,no_cheater_present,de_inferno,0,615,no_cheater_present/301,train
no_cheater_present/302,no_cheater_present,de_basalt,0,508,no_cheater_present/302,train
no_cheater_present/303,no_cheater_present,de_anubis,0,513,no_cheater_present/303,calibration
no_cheater_present/304,no_cheater_present,de_inferno,0,349,no_cheater_present/304,train
no_cheater_present/305,no_cheater_present,cs_office,0,594,no_cheater_present/305,validation
no_cheater_present/306,no_cheater_present,de_mirage,0,702,no_cheater_present/306,train
no_cheater_present/307,no_cheater_present,de_overpass,0,473,no_cheater_present/307,calibration
no_cheater_present/308,no_cheater_present,de_overpass,0,636,no_cheater_present/308,train
no_cheater_present/309,no_cheater_present,de_overpass,0,639,no_cheater_present/309,validation
no_cheater_present/31,no_cheater_present,de_mirage,0,460,no_cheater_present/31,train
no_cheater_present/310,no_cheater_present,de_edin,0,670,no_cheater_present/310,train
no_cheater_present/311,no_cheater_present,de_overpass,0,596,no_cheater_present/311,train
no_cheater_present/312,no_cheater_present,de_basalt,0,758,no_cheater_present/312,train
no_cheater_present/313,no_cheater_present,de_overpass,0,596,no_cheater_present/313,test
no_cheater_present/314,no_cheater_present,de_basalt,0,600,no_cheater_present/314,train
no_cheater_present/315,no_cheater_present,de_thera,0,636,no_cheater_present/315,test
no_cheater_present/316,no_cheater_present,de_edin,0,667,no_cheater_present/316,train
no_cheater_present/317,no_cheater_present,de_overpass,0,595,no_cheater_present/317,train
no_cheater_present/318,no_cheater_present,de_edin,0,498,no_cheater_present/318,train
no_cheater_present/319,no_cheater_present,de_basalt,0,495,no_cheater_present/319,train
no_cheater_present/32,no_cheater_present,de_inferno,0,648,no_cheater_present/32,train
no_cheater_present/320,no_cheater_present,de_edin,0,675,no_cheater_present/320,test
no_cheater_present/321,no_cheater_present,de_basalt,0,720,no_cheater_present/321,test
no_cheater_present/322,no_cheater_present,de_overpass,0,461,no_cheater_present/322,train
no_cheater_present/323,no_cheater_present,de_basalt,0,808,no_cheater_present/323,train
no_cheater_present/324,no_cheater_present,de_basalt,0,551,no_cheater_present/324,train
no_cheater_present/325,no_cheater_present,cs_italy,0,633,no_cheater_present/325,calibration
no_cheater_present/326,no_cheater_present,cs_italy,0,557,no_cheater_present/326,test
no_cheater_present/327,no_cheater_present,de_basalt,0,600,no_cheater_present/327,train
no_cheater_present/328,no_cheater_present,de_edin,0,216,no_cheater_present/328,train
no_cheater_present/329,no_cheater_present,de_ancient,0,63,no_cheater_present/329,train
no_cheater_present/33,no_cheater_present,de_dust2,0,801,no_cheater_present/33,train
no_cheater_present/330,no_cheater_present,de_edin,0,723,no_cheater_present/330,train
no_cheater_present/331,no_cheater_present,de_thera,0,756,no_cheater_present/331,train
no_cheater_present/332,no_cheater_present,de_thera,0,587,no_cheater_present/332,train
no_cheater_present/333,no_cheater_present,de_overpass,0,644,no_cheater_present/333,train
no_cheater_present/334,no_cheater_present,de_overpass,0,729,no_cheater_present/334,train
no_cheater_present/335,no_cheater_present,de_overpass,0,510,no_cheater_present/335,validation
no_cheater_present/336,no_cheater_present,de_edin,0,688,no_cheater_present/336,train
no_cheater_present/337,no_cheater_present,de_overpass,0,512,no_cheater_present/337,train
no_cheater_present/338,no_cheater_present,de_basalt,0,639,no_cheater_present/338,train
no_cheater_present/339,no_cheater_present,de_edin,0,738,no_cheater_present/339,calibration
no_cheater_present/34,no_cheater_present,de_mirage,0,465,no_cheater_present/34,train
no_cheater_present/340,no_cheater_present,de_edin,0,559,no_cheater_present/340,train
no_cheater_present/341,no_cheater_present,de_edin,0,388,no_cheater_present/341,train
no_cheater_present/342,no_cheater_present,de_overpass,0,563,no_cheater_present/342,calibration
no_cheater_present/343,no_cheater_present,cs_office,0,818,no_cheater_present/343,test
no_cheater_present/344,no_cheater_present,de_basalt,0,844,no_cheater_present/344,train
no_cheater_present/345,no_cheater_present,de_edin,0,440,no_cheater_present/345,train
no_cheater_present/346,no_cheater_present,de_basalt,0,555,no_cheater_present/346,test
no_cheater_present/347,no_cheater_present,de_edin,0,331,no_cheater_present/347,validation
no_cheater_present/348,no_cheater_present,de_overpass,0,621,no_cheater_present/348,test
no_cheater_present/349,no_cheater_present,de_edin,0,481,no_cheater_present/349,train
no_cheater_present/35,no_cheater_present,de_dust2,0,598,no_cheater_present/35,calibration
no_cheater_present/350,no_cheater_present,de_basalt,0,750,no_cheater_present/350,train
no_cheater_present/351,no_cheater_present,cs_italy,0,622,no_cheater_present/351,train
no_cheater_present/352,no_cheater_present,de_inferno,0,247,no_cheater_present/352,validation
no_cheater_present/353,no_cheater_present,de_edin,0,753,no_cheater_present/353,train
no_cheater_present/354,no_cheater_present,de_basalt,0,591,no_cheater_present/354,train
no_cheater_present/355,no_cheater_present,de_mirage,0,660,no_cheater_present/355,test
no_cheater_present/356,no_cheater_present,de_basalt,0,652,no_cheater_present/356,train
no_cheater_present/357,no_cheater_present,de_dust2,0,687,no_cheater_present/357,test
no_cheater_present/358,no_cheater_present,de_basalt,0,668,no_cheater_present/358,calibration
no_cheater_present/359,no_cheater_present,de_inferno,0,832,no_cheater_present/359,test
no_cheater_present/36,no_cheater_present,de_dust2,0,862,no_cheater_present/36,train
no_cheater_present/360,no_cheater_present,de_nuke,0,652,no_cheater_present/360,train
no_cheater_present/361,no_cheater_present,de_ancient,0,727,no_cheater_present/361,calibration
no_cheater_present/362,no_cheater_present,de_dust2,0,648,no_cheater_present/362,train
no_cheater_present/363,no_cheater_present,de_overpass,0,672,no_cheater_present/363,train
no_cheater_present/364,no_cheater_present,de_edin,0,476,no_cheater_present/364,train
no_cheater_present/365,no_cheater_present,cs_italy,0,190,no_cheater_present/365,train
no_cheater_present/366,no_cheater_present,de_overpass,0,681,no_cheater_present/366,validation
no_cheater_present/367,no_cheater_present,de_edin,0,195,no_cheater_present/367,train
no_cheater_present/368,no_cheater_present,de_dust2,0,368,no_cheater_present/368,train
no_cheater_present/369,no_cheater_present,de_dust2,0,593,no_cheater_present/369,calibration
no_cheater_present/37,no_cheater_present,de_dust2,0,500,no_cheater_present/37,train
no_cheater_present/370,no_cheater_present,de_basalt,0,575,no_cheater_present/370,validation
no_cheater_present/371,no_cheater_present,de_edin,0,554,no_cheater_present/371,train
no_cheater_present/372,no_cheater_present,de_thera,0,652,no_cheater_present/372,train
no_cheater_present/373,no_cheater_present,de_vertigo,0,475,no_cheater_present/373,train
no_cheater_present/374,no_cheater_present,de_edin,0,451,no_cheater_present/374,test
no_cheater_present/375,no_cheater_present,de_edin,0,361,no_cheater_present/375,test
no_cheater_present/376,no_cheater_present,de_edin,0,680,no_cheater_present/376,validation
no_cheater_present/377,no_cheater_present,de_overpass,0,587,no_cheater_present/377,validation
no_cheater_present/378,no_cheater_present,de_overpass,0,637,no_cheater_present/378,train
no_cheater_present/379,no_cheater_present,cs_italy,0,430,no_cheater_present/379,test
no_cheater_present/38,no_cheater_present,de_inferno,0,757,no_cheater_present/38,train
no_cheater_present/380,no_cheater_present,de_overpass,0,628,no_cheater_present/380,calibration
no_cheater_present/381,no_cheater_present,de_mirage,0,438,no_cheater_present/381,train
no_cheater_present/382,no_cheater_present,de_vertigo,0,719,no_cheater_present/382,train
no_cheater_present/383,no_cheater_present,cs_italy,0,643,no_cheater_present/383,train
no_cheater_present/384,no_cheater_present,de_thera,0,762,no_cheater_present/384,train
no_cheater_present/385,no_cheater_present,de_nuke,0,495,no_cheater_present/385,test
no_cheater_present/386,no_cheater_present,de_thera,0,669,no_cheater_present/386,calibration
no_cheater_present/387,no_cheater_present,de_mills,0,574,no_cheater_present/387,train
no_cheater_present/388,no_cheater_present,de_overpass,0,573,no_cheater_present/388,train
no_cheater_present/389,no_cheater_present,cs_italy,0,608,no_cheater_present/389,train
no_cheater_present/39,no_cheater_present,de_inferno,0,794,no_cheater_present/39,test
no_cheater_present/390,no_cheater_present,de_thera,0,277,no_cheater_present/390,validation
no_cheater_present/391,no_cheater_present,de_thera,0,286,no_cheater_present/391,train
no_cheater_present/392,no_cheater_present,de_overpass,0,582,no_cheater_present/392,validation
no_cheater_present/393,no_cheater_present,de_overpass,0,456,no_cheater_present/393,validation
no_cheater_present/394,no_cheater_present,de_thera,0,260,no_cheater_present/394,train
no_cheater_present/395,no_cheater_present,de_overpass,0,736,no_cheater_present/395,calibration
no_cheater_present/396,no_cheater_present,de_inferno,0,584,no_cheater_present/396,calibration
no_cheater_present/397,no_cheater_present,de_overpass,0,380,no_cheater_present/397,validation
no_cheater_present/398,no_cheater_present,de_thera,0,825,no_cheater_present/398,validation
no_cheater_present/399,no_cheater_present,de_thera,0,454,no_cheater_present/399,train
no_cheater_present/4,no_cheater_present,de_mirage,0,432,no_cheater_present/4,test
no_cheater_present/40,no_cheater_present,de_vertigo,0,413,no_cheater_present/40,calibration
no_cheater_present/400,no_cheater_present,de_thera,0,487,no_cheater_present/400,train
no_cheater_present/401,no_cheater_present,de_dust2,0,473,no_cheater_present/401,test
no_cheater_present/402,no_cheater_present,de_mirage,0,446,no_cheater_present/402,train
no_cheater_present/403,no_cheater_present,de_dust2,0,565,no_cheater_present/403,validation
no_cheater_present/404,no_cheater_present,de_mills,0,619,no_cheater_present/404,train
no_cheater_present/405,no_cheater_present,de_inferno,0,319,no_cheater_present/405,train
no_cheater_present/406,no_cheater_present,de_dust2,0,655,no_cheater_present/406,test
no_cheater_present/407,no_cheater_present,cs_italy,0,457,no_cheater_present/407,train
no_cheater_present/408,no_cheater_present,cs_italy,0,428,no_cheater_present/408,test
no_cheater_present/409,no_cheater_present,de_mills,0,674,no_cheater_present/409,validation
no_cheater_present/41,no_cheater_present,de_inferno,0,697,no_cheater_present/41,train
